IDValues,Name,Price,link,ModelNumber,Image
54,Lexmark CS317dn Single Function Colour Laser Printer (28CC050),$339.00,https://www.staples.ca/en/Lexmark-CS317dn-Single-Function-Colour-Laser-Printer-28CC050-/product_2716169_2-CA_1_20001,28CC050,https://www.staples-3p.com/s7/is/image/Staples/m006013558_sc7?$std$
55,Brother MFC-J5830DW Business Smart Pro Colour Inkjet All-in-One ADF Wireless Printer (MFCJ5830DW),$289.96,https://www.staples.ca/en/Brother-MFC-J5830DW-Business-Smart-Pro-Colour-Inkjet-All-in-One-ADF-Wireless-Printer-MFCJ5830DW-/product_2425719_2-CA_1_20001,MFC-J5830DW,https://www.staples-3p.com/s7/is/image/Staples/m005917665_sc7?$std$
56,Canon MAXIFY MB2120 Small Office/Home Office All-in-One Inkjet Printer (0959C003),$179.75,https://www.staples.ca/en/Canon-MAXIFY-MB2120-Small-Office-Home-Office-All-in-One-Inkjet-Printer-0959C003-/product_2454262_2-CA_1_20001,0959C003,https://www.staples-3p.com/s7/is/image/Staples/m005844432_sc7?$std$
57,HP Officejet 200 Mobile Printer (CZ993A#B1H),$299.99,https://www.staples.ca/en/HP-Officejet-200-Mobile-Printer-CZ993A-B1H-/product_2313202_2-CA_1_20001,CZ993A#B1H,https://www.staples-3p.com/s7/is/image/Staples/m004767548_sc7?$std$
58,Canon PIXMA (iP110) Wireless Compact Mobile Printer,$249.99,https://www.staples.ca/en/Canon-PIXMA-iP110-Wireless-Compact-Mobile-Printer/product_1474095_2-CA_1_20001,9596B023,https://www.staples-3p.com/s7/is/image/Staples/s0933167_sc7?$std$
59,Epson Expression ET-3600 EcoTank All-in-One Supertank Printer (C11CF73201),$449.84,https://www.staples.ca/en/Epson-Expression-ET-3600-EcoTank-All-in-One-Supertank-Printer-C11CF73201-/product_2431838_2-CA_1_20001,C11CF73201,https://www.staples-3p.com/s7/is/image/Staples/m004956915_sc7?$std$
60,HP LaserJet Pro MFP M227fdn 4-in-1 Printer,$319.99,https://www.staples.ca/en/HP-LaserJet-Pro-MFP-M227fdn-4-in-1-Printer/product_2608229_2-CA_1_20001,G3Q79A#BGJ,https://www.staples-3p.com/s7/is/image/Staples/s1070275_sc7?$std$
61,Brother MFC-L5700DW All-in-One Wireless Duplex Monochrome Laser Printer (MFCL5700DW),$329.83,https://www.staples.ca/en/Brother-MFC-L5700DW-All-in-One-Wireless-Duplex-Monochrome-Laser-Printer-MFCL5700DW-/product_2072517_2-CA_1_20001,MFC-L5700DW,https://www.staples-3p.com/s7/is/image/Staples/m003935168_sc7?$std$
62,Epson WorkForce ET-16500 EcoTank Wide-format All-in-One Supertank Printer (C11CF49201),"$1,199.94",https://www.staples.ca/en/Epson-WorkForce-ET-16500-EcoTank-Wide-format-All-in-One-Supertank-Printer-C11CF49201-/product_2417126_2-CA_1_20001,C11CF49201,https://www.staples-3p.com/s7/is/image/Staples/m004956914_sc7?$std$
63,Canon imageCLASS MF624CW Colour Laser Multifunction Printer,$249.97,https://www.staples.ca/en/Canon-imageCLASS-MF624CW-Colour-Laser-Multifunction-Printer/product_1945506_2-CA_1_20001,9946B016,https://www.staples-3p.com/s7/is/image/Staples/m003149364_sc7?$std$
