IDValues,Name,Price,link,ModelNumber,Image
50,"Dell Refurbished SFF Optiplex 390 Intel Core i5 2400(3.1GHz), 8GB Ram, 2TB HDD, DVDRW, Windows 10 Pro",$329.00,https://www.staples.ca/en/Dell-Refurbished-SFF-Optiplex-390-Intel-Core-i5-2400-3-1GHz-8GB-Ram-2TB-HDD-DVDRW-Windows-10-Pro/product_1894087_2-CA_1_20001,640626592987,
51,"HP Refurbished 6305 Pro SFF Desktop Computer, 3.4 GHz AMD A4-5300B, 2 TB HDD, 8 GB DDR3, Windows 10 Home",$225.00,https://www.staples.ca/en/HP-Refurbished-6305-Pro-SFF-Desktop-Computer-3-4-GHz-AMD-A4-5300B-2-TB-HDD-8-GB-DDR3-Windows-10-Home/product_2719621_2-CA_1_20001,HP PRO 6305,
52,"CyberPowerPC Gamer Ultra GUA3120INC Computer, 3.8 GHz AMD FX-4300, 8 GB, 1 TB HDD, AMD Radeon R7 250, Win10",$639.00,https://www.staples.ca/en/CyberPowerPC-Gamer-Ultra-GUA3120INC-Computer-3-8-GHz-AMD-FX-4300-8-GB-1-TB-HDD-AMD-Radeon-R7-250-Win10/product_2520780_2-CA_1_20001,GUA3120INC,
53,"CyberPowerPC Gamer Ultra GUA4900INC Computer, 3.8 GHz AMD FX-4300, 8 GB, 1 TB HDD, NVIDIA GeForce GTX 1050 Ti, Win10",$919.00,https://www.staples.ca/en/CyberPowerPC-Gamer-Ultra-GUA4900INC-Computer-3-8-GHz-AMD-FX-4300-8-GB-1-TB-HDD-NVIDIA-GeForce-GTX-1050-Ti-Win10/product_2520781_2-CA_1_20001,GUA4900INC,
54,"HP 6300 Pro Refurbished SFF Desktop, 3.2GHz Intel Corei5 3470, 4GB RAM, 250GB HDD, DVD, Win10 Pro, English",$299.99,https://www.staples.ca/en/HP-6300-Pro-Refurbished-SFF-Desktop-3-2GHz-Intel-Corei5-3470-4GB-RAM-250GB-HDD-DVD-Win10-Pro-English/product_1641108_2-CA_1_20001,HP6300PROSFF,
55,"CyberPowerPC Gamer Ultra GUA4500INC Computer, 3.5 GHz AMD FX-6300, 16 GB, 1 TB + 120 GB, NVIDIA GeForce GTX 1060, Win10","$1,099.00",https://www.staples.ca/en/CyberPowerPC-Gamer-Ultra-GUA4500INC-Computer-3-5-GHz-AMD-FX-6300-16-GB-1-TB-120-GB-NVIDIA-GeForce-GTX-1060-Win10/product_2520782_2-CA_1_20001,GUA4500INC,
56,"HP Refurbished USFF Desktop (7700), Intel Core 2 Duo 2.13, 4GB RAM, 160GB HDD, DVD, Windows 10 Pro, English",$129.50,https://www.staples.ca/en/HP-Refurbished-USFF-Desktop-7700-Intel-Core-2-Duo-2-13-4GB-RAM-160GB-HDD-DVD-Windows-10-Pro-English/product_1668246_2-CA_1_20001,HP DC7700,
57,"MSI Trident 3 VR7RC-018US Gaming Desktop, 3.6 GHz Intel Core i7-7700, 1 TB HDD + 128 GB SSD, 8 GB DDR4, GeForce GTX 1060, Win10","$1,399.99",https://www.staples.ca/en/MSI-Trident-3-VR7RC-018US-Gaming-Desktop-3-6-GHz-Intel-Core-i7-7700-1-TB-HDD-128-GB-SSD-8-GB-DDR4-GeForce-GTX-1060-Win10/product_2637526_2-CA_1_20001,VR7RC-018US,
58,"HP Pavilion 27-A230 Z5M04AA#ABA 27"" All-in-One Computer, 2.4 GHz Intel Core i5-7400T, 1 TB HDD, 12 GB DDR4, Windows 10 Home","$1,349.99",https://www.staples.ca/en/HP-Pavilion-27-A230-Z5M04AA-ABA-27-All-in-One-Computer-2-4-GHz-Intel-Core-i5-7400T-1-TB-HDD-12-GB-DDR4-Windows-10-Home/product_2580123_2-CA_1_20001,Z5M04AA#ABA,
59,"HP Refurbished DC7900 SFF Desktop Computer, 3.0 GHz Intel Core 2 Duo E8400, 160 GB HDD, 4 GB DDR2, Windows 10 Home",$149.92,https://www.staples.ca/en/HP-Refurbished-DC7900-SFF-Desktop-Computer-3-0-GHz-Intel-Core-2-Duo-E8400-160-GB-HDD-4-GB-DDR2-Windows-10-Home/product_2699654_2-CA_1_20001,DC7900,
60,"HP Refurbished Elite 8200 SFF Desktop Computer, 3.4 GHz Intel Core i7-2600, 2 TB HDD, 16 GB DDR3, Windows 10 Pro",$459.00,https://www.staples.ca/en/HP-Refurbished-Elite-8200-SFF-Desktop-Computer-3-4-GHz-Intel-Core-i7-2600-2-TB-HDD-16-GB-DDR3-Windows-10-Pro/product_2626183_2-CA_1_20001,HP ELITE 8200,
61,"Dell Refurbished OptiPlex 7010 Tower Desktop Computer, 3.2 GHz Intel Core i5-3470, 2 TB HDD, 16 GB DDR3, Windows 10 Pro",$349.00,https://www.staples.ca/en/Dell-Refurbished-OptiPlex-7010-Tower-Desktop-Computer-3-2-GHz-Intel-Core-i5-3470-2-TB-HDD-16-GB-DDR3-Windows-10-Pro/product_2727090_2-CA_1_20001,OPTIPLEX 7010,
62,"Asus CHROMEBIT-B013C Mini PC, RockChip 3288-C, 16GB Emmc, 2GB RAM, Chrome OS",$129.99,https://www.staples.ca/en/Asus-CHROMEBIT-B013C-Mini-PC-RockChip-3288-C-16GB-Emmc-2GB-RAM-Chrome-OS/product_2314443_2-CA_1_20001,90MA0031-M00130,
63,"ASUS Refurbished VivoPC M32CD-B07 Desktop Computer, 2.7 GHz Intel Core i5 6400, 1 TB HDD, 8 GB DDR4, Windows 10",$499.99,https://www.staples.ca/en/ASUS-Refurbished-VivoPC-M32CD-B07-Desktop-Computer-2-7-GHz-Intel-Core-i5-6400-1-TB-HDD-8-GB-DDR4-Windows-10/product_2605605_2-CA_1_20001,M32CD-B07,
64,"ASUS® (CHROMEBOX-M004U) Small Form Factor Desktop, 1.4GHz Intel Celeron 2955U, 2GB DDR3 RAM, 16G SSD",$239.99,https://www.staples.ca/en/ASUS-CHROMEBOX-M004U-Small-Form-Factor-Desktop-1-4GHz-Intel-Celeron-2955U-2GB-DDR3-RAM-16G-SSD/product_1004312_2-CA_1_20001,CHROMEBOX-M004U,
65,"Apple Mac mini Desktop  (MGEM2LL/A), 1.4GHz Dual-Core Intel Core i5 Desktop",$599.00,https://www.staples.ca/en/Apple-Mac-mini-Desktop-MGEM2LL-A-1-4GHz-Dual-Core-Intel-Core-i5-Desktop/product_SS3670719_2-CA_1_20001,none,
66,"CyberPowerPC GXI10180INC Gamer Xtreme Gaming PC, 3.6 GHz Intel Core i7-7700, 1 TB HDD, 8 GB DDR4, NVIDIA GeForce GTX 1060, Win10","$1,369.99",https://www.staples.ca/en/CyberPowerPC-GXI10180INC-Gamer-Xtreme-Gaming-PC-3-6-GHz-Intel-Core-i7-7700-1-TB-HDD-8-GB-DDR4-NVIDIA-GeForce-GTX-1060-Win10/product_2636426_2-CA_1_20001,GXI10180INC,
67,"Apple iMac MNDY2C/A 21.5"" Retina 4K, 3.0 GHz, 1 TB Storage, 8 GB DDR4, French","$1,729.00",https://www.staples.ca/en/Apple-iMac-MNDY2C-A-21-5-Retina-4K-3-0-GHz-1-TB-Storage-8-GB-DDR4-French/product_2727443_2-CA_1_20001,none,
68,"Acer Aspire TC DT.B89AA.013 Desktop Computer, 3.0 GHz Intel Core i5-7400, 3 TB HDD, 16 GB DDR4 SDRAM, Windows 10 Home",$599.97,https://www.staples.ca/en/Acer-Aspire-TC-DT-B89AA-013-Desktop-Computer-3-0-GHz-Intel-Core-i5-7400-3-TB-HDD-16-GB-DDR4-SDRAM-Windows-10-Home/product_2719462_2-CA_1_20001,DT.B89AA.013,
69,"HP Refurbished HP 6300 Pro SFF Desktop Computer, 3.2 GHz Intel Core i5, 12 GB DDR3, 2TB HDD, Windows 10 Pro",$359.00,https://www.staples.ca/en/HP-Refurbished-HP-6300-Pro-SFF-Desktop-Computer-3-2-GHz-Intel-Core-i5-12-GB-DDR3-2TB-HDD-Windows-10-Pro/product_2571768_2-CA_1_20001,HP 6300 PRO,
