ID,Name,Price,Link,ModelNumber
45,Nokia 105 Dual Sim 2017,"₹1,397",https://www.flipkart.com/nokia-105-dual-sim-2017/p/itmewxfkeyynhzgb?pid=MOBEWXFKUAXUKQQA&srno=b_8_4&otracker=browse&lid=LSTMOBEWXFKUAXUKQQAO47PGK&fm=organic&iid=ce9c7adb-57fa-4994-bbf0-6fd84d7d1d1f.MOBEWXFKUAXUKQQA.SEARCH,TA-1034
46,"iVooMi Me3S (Midnight Black, 32 GB)","₹5,999",https://www.flipkart.com/ivoomi-me3s-midnight-black-32-gb/p/itmexduzfyqpuypc?pid=MOBEXBZBVHSHZFGW&srno=b_6_4&otracker=browse&lid=LSTMOBEXBZBVHSHZFGWB8A3FE&fm=organic&iid=fa219dd4-160c-45b4-8dbb-1ff15577e497.MOBEXBZBVHSHZFGW.SEARCH,iV 501
47,"Infinix Note 4 (Milan Black, 32 GB)","₹7,999",https://www.flipkart.com/infinix-note-4-milan-black-32-gb/p/itmewf3utfdfh3nf?pid=MOBEWF3UPGQHFJXG&srno=b_4_7&otracker=browse&lid=LSTMOBEWF3UPGQHFJXG2BIN4U&fm=organic&iid=d3957150-e3b1-4051-a5a2-bcda88300e1e.MOBEWF3UPGQHFJXG.SEARCH,X 572
48,"Samsung Galaxy On5 (Gold, 8 GB)","₹5,990",https://www.flipkart.com/samsung-galaxy-on5-gold-8-gb/p/itmedhx3uy3qsfks?pid=MOBECCA5FHQD43KA&srno=b_2_11&otracker=browse&lid=LSTMOBECCA5FHQD43KAK2QMJD&fm=organic&iid=37e304e6-cbe3-4341-b2a7-23fd6033d36f.MOBECCA5FHQD43KA.SEARCH,SM-G550FZKDINS/SM-G550FZDDINS
49,"OPPO A57 (Gold, 32 GB)","₹13,990",https://www.flipkart.com/oppo-a57-gold-32-gb/p/itmeuyd94bswkfzp?pid=MOBEQT93GWRUD5BQ&srno=b_7_5&otracker=browse&lid=LSTMOBEQT93GWRUD5BQKWWFX8&fm=organic&iid=9d230559-485e-47f2-8e37-c3ab71a2680e.MOBEQT93GWRUD5BQ.SEARCH,CPH1701
50,"Samsung Galaxy On7 (Gold, 8 GB)","₹6,590",https://www.flipkart.com/samsung-galaxy-on7-gold-8-gb/p/itmeuyd9c5adb58r?pid=MOBECCA5Y5HBYR3Q&srno=b_3_7&otracker=browse&lid=LSTMOBECCA5Y5HBYR3QPSGMZM&fm=organic&iid=62fa6d12-24aa-41e5-8d3c-f1dc792009f7.MOBECCA5Y5HBYR3Q.SEARCH,SM-G600FZDDINS/SM-G600FZKDINS
51,"Samsung Galaxy J5 (White, 8 GB)","₹7,990",https://www.flipkart.com/samsung-galaxy-j5-white-8-gb/p/itme9zfu2gwv52kz?pid=MOBE93GWSA63AU7V&srno=b_5_7&otracker=browse&lid=LSTMOBE93GWSA63AU7V9OCQCD&fm=organic&iid=199a39db-7b11-45dd-84dc-24034bb1e3cb.MOBE93GWSA63AU7V.SEARCH,SM-J500FZWDINS
52,"Samsung Galaxy J5 - 6 (New 2016 Edition) (Black, 16 GB)","₹9,490",https://www.flipkart.com/samsung-galaxy-j5-6-new-2016-edition-black-16-gb/p/itmeuydaawfvqc8h?pid=MOBEG4XWHJDWMQDF&srno=b_8_5&otracker=browse&lid=LSTMOBEG4XWHJDWMQDFZIWO93&fm=organic&iid=487ec4e5-41e2-4acc-a555-ebff2d998723.MOBEG4XWHJDWMQDF.SEARCH,SM-J510FZDUINS/ SM-J510FZWUINS/ SM-J510FZKUINS
53,"Samsung Galaxy S7 (Gold Platinum, 32 GB)","₹30,990",https://www.flipkart.com/samsung-galaxy-s7-gold-platinum-32-gb/p/itmeuyda4qgqetc6?pid=MOBEGFZPWJHYT7NX&srno=b_6_5&otracker=browse&lid=LSTMOBEGFZPWJHYT7NXKNHWSQ&fm=organic&iid=bb7a5e05-1420-4c4d-9fee-ebc4c40e4da7.MOBEGFZPWJHYT7NX.SEARCH,SM-G930FZKUINS/SM-G930FZSUINS/SM-G930FZDUINS
54,"Lenovo K8 Plus (Venom Black, 32 GB)","₹9,499",https://www.flipkart.com/lenovo-k8-plus-venom-black-32-gb/p/itmex9kpgkxmgpzc?pid=MOBEWN63JHHEXPTD&srno=b_1_9&otracker=browse&lid=LSTMOBEWN63JHHEXPTD6ZB4XI&fm=organic&iid=cec0a73b-5bc4-43ab-8e95-847e6dddb2f6.MOBEWN63JHHEXPTD.SEARCH,PA8C0020IN/PA8C0003IN
