ID,Name,Price,Link,ModelNumber
34,Micromax Canvas Tab P701 8 GB 7 inch with Wi-Fi+4G Tablet,"₹7,150",https://www.flipkart.com/micromax-canvas-tab-p701-8-gb-7-inch-wi-fi-4g-tablet/p/itmegugwuuthe3fv?pid=TABEGUGWSDEVXTQN&srno=b_2_7&otracker=browse&lid=LSTTABEGUGWSDEVXTQNBP3MJ4&fm=organic&iid=dfd98f96-d753-4b09-8c29-9df76fd6489b.TABEGUGWSDEVXTQN.SEARCH,Canvas Tab P701
35,"Lenovo Phab 2 (Gunmetal Gray, 32 GB)","₹8,999",https://www.flipkart.com/lenovo-phab-2-gunmetal-gray-32-gb/p/itmep4bhwqtfmpdd?pid=MOBEZPVENHEVMQDZ&srno=b_8_2&otracker=browse&lid=LSTMOBEZPVENHEVMQDZISYRRI&fm=organic&iid=ba174b1e-7c57-4725-91ba-faf62424ef4d.MOBEZPVENHEVMQDZ.SEARCH,PB2-650M
36,Iball Slide Wings 4GP 16 GB 8 inch with Wi-Fi+4G Tablet,"₹9,999",https://www.flipkart.com/iball-slide-wings-4gp-16-gb-8-inch-wi-fi-4g-tablet/p/itmet4p7znhq3gyz?pid=TABET4ZWPBNKGGQB&srno=b_4_5&otracker=browse&lid=LSTTABET4ZWPBNKGGQB1F77X2&fm=organic&iid=246cc5f0-f3b6-46c4-b537-06291523e64d.TABET4ZWPBNKGGQB.SEARCH,Slide Wings 4GP
37,"Lenovo Phab 2 (Gunmetal Gray, 32 GB)","₹8,999",https://www.flipkart.com/lenovo-phab-2-gunmetal-gray-32-gb/p/itmep4bhwqtfmpdd?pid=MOBEZPVENHEVMQDZ&srno=b_6_4&otracker=browse&lid=LSTMOBEZPVENHEVMQDZISYRRI&fm=organic&iid=551fd798-eeba-464a-ba0a-b1e76cb42622.MOBEZPVENHEVMQDZ.SEARCH,PB2-650M
38,Apple iPad Pro 64 GB 12.9 inch with Wi-Fi+4G,"₹72,990",https://www.flipkart.com/apple-ipad-pro-64-gb-12-9-inch-wi-fi-4g/p/itmeuqatzy6jfhfa?pid=TABEUQATAVFZC5Q6&srno=b_5_5&otracker=browse&lid=LSTTABEUQATAVFZC5Q6IDEJTR&fm=organic&iid=028e0293-247f-415a-b8b3-6c6a8dcca2fa.TABEUQATAVFZC5Q6.SEARCH,MQEF2HN/A
39,Zync Z99 3G 8 GB 7 inch with Wi-Fi+3G Tablet,"₹4,299",https://www.flipkart.com/zync-z99-3g-8-gb-7-inch-wi-fi-3g-tablet/p/itmeaywu9aj69pzd?pid=TABEAYWU9ERBVTND&srno=b_7_4&otracker=browse&lid=LSTTABEAYWU9ERBVTNDKURCGW&fm=organic&iid=2b3fedfd-23b1-4a82-8fec-74b19eabc791.TABEAYWU9ERBVTND.SEARCH,Z99 3G
40,Apple iPad 32 GB 9.7 inch with Wi-Fi Only,"₹22,900",https://www.flipkart.com/apple-ipad-32-gb-9-7-inch-wi-fi-only/p/itmespzmuwznfpyz?pid=TABESPZMYBDRQCVN&srno=b_1_9&otracker=browse&lid=LSTTABESPZMYBDRQCVNQ9UTIK&fm=organic&iid=88f67277-abc4-4d7c-8fef-8fa052a68182.TABESPZMYBDRQCVN.SEARCH,MPGT2HN/A
41,Iball Slide Snap 4G2 16 GB 7 inch with Wi-Fi+4G Tablet,"₹7,599",https://www.flipkart.com/iball-slide-snap-4g2-16-gb-7-inch-wi-fi-4g-tablet/p/itmegyskhvgqwgsh?pid=TABEGYSKCCGP5HPF&srno=b_3_7&otracker=browse&lid=LSTTABEGYSKCCGP5HPFEJVMEJ&fm=organic&iid=a9d6b775-e2a9-4bbf-8b9d-11a9b7bc38ea.TABEGYSKCCGP5HPF.SEARCH,Slide Snap 4G2
42,Micromax Canvas Tab P701 8 GB 7 inch with Wi-Fi+4G Tablet,"₹7,150",https://www.flipkart.com/micromax-canvas-tab-p701-8-gb-7-inch-wi-fi-4g-tablet/p/itmegugwuuthe3fv?pid=TABEGUGWWCVHMX3Z&srno=b_2_8&otracker=browse&lid=LSTTABEGUGWWCVHMX3Z2GOFVU&fm=organic&iid=4590afa6-d416-453c-b61b-ed4e77d9283d.TABEGUGWWCVHMX3Z.SEARCH,Canvas Tab P701
43,Iball Gorgeo 4GL 8 GB 7 inch with Wi-Fi+4G Tablet,"₹6,999",https://www.flipkart.com/iball-gorgeo-4gl-8-gb-7-inch-wi-fi-4g-tablet/p/itmefjm9vewmwugs?pid=TABEFJM9KPGKCCQD&srno=b_4_7&otracker=browse&lid=LSTTABEFJM9KPGKCCQDK4I5EG&fm=organic&iid=6e99dd2a-e166-482a-8570-325d910b54da.TABEFJM9KPGKCCQD.SEARCH,none
44,Apple iPad Pro 256 GB 9.7 inch with Wi-Fi+4G,"₹68,900",https://www.flipkart.com/apple-ipad-pro-256-gb-9-7-inch-wi-fi-4g/p/itmeq8yf74zghsyh?pid=TABEPQGC7AXDXD9H&srno=b_6_5&otracker=browse&lid=LSTTABEPQGC7AXDXD9HPSA7CC&fm=organic&iid=ad02e83e-fccd-4c1a-963e-c4725030e3bd.TABEPQGC7AXDXD9H.SEARCH,MLQ62HN/A
45,"Extramarks Study Tab, Class 9th,CBSE 16 GB 8.9 inch with Wi-Fi+3G Tablet","₹17,499",https://www.flipkart.com/extramarks-study-tab-class-9th-cbse-16-gb-8-9-inch-wi-fi-3g-tablet/p/itmeq4fwdzhqggbs?pid=TABEQ4FWFJJEGNZE&srno=b_7_5&otracker=browse&lid=LSTTABEQ4FWFJJEGNZEKX0J9U&fm=organic&iid=46c9f40e-2e4f-4193-b6a0-5b1fae15e3ba.TABEQ4FWFJJEGNZE.SEARCH,"Smart Study Tab, Class 9th, EW-200"
46,Apple iPad Pro 512 GB 10.5 inch with Wi-Fi+4G,"₹83,990",https://www.flipkart.com/apple-ipad-pro-512-gb-10-5-inch-wi-fi-4g/p/itmeuqatfawrmb4x?pid=TABEUQAT3SGF6UVN&srno=b_5_6&otracker=browse&lid=LSTTABEUQAT3SGF6UVNJOLSC2&fm=organic&iid=1ad9698d-f78e-473b-ad92-d2f5773b3862.TABEUQAT3SGF6UVN.SEARCH,MPMG2HN/A
47,Lenovo Tab3 7 Essential 8 GB 7 inch with Wi-Fi Only Tablet,"₹4,999",https://www.flipkart.com/lenovo-tab3-7-essential-8-gb-inch-wi-fi-only-tablet/p/itmekkykcutujhrn?pid=TABEKKYKYNHCMJV2&srno=b_1_10&otracker=browse&lid=LSTTABEKKYKYNHCMJV2BHO50O&fm=organic&iid=45ec4cf3-e54e-4691-bdf4-53fc25476684.TABEKKYKYNHCMJV2.SEARCH,TB3-710F
48,Iball Slide D7061 8 GB 7 inch with Wi-Fi+3G Tablet,"₹3,790",https://www.flipkart.com/iball-slide-d7061-8-gb-7-inch-wi-fi-3g-tablet/p/itmekhcqa9fadjtn?pid=TABEKHCQK3XCX7VB&srno=b_2_9&otracker=browse&lid=LSTTABEKHCQK3XCX7VB9MXCLG&fm=organic&iid=8b383a01-c2b9-483b-bae5-47c534f087d1.TABEKHCQK3XCX7VB.SEARCH,D7061
49,Apple iPad Pro 32 GB 9.7 inch with Wi-Fi Only,"₹35,900",https://www.flipkart.com/apple-ipad-pro-32-gb-9-7-inch-wi-fi-only/p/itmeq7z5rj6qygfp?pid=TABEPQGCKAF3FYAJ&srno=b_3_8&otracker=browse&lid=LSTTABEPQGCKAF3FYAJ6RYSCJ&fm=organic&iid=6c66a890-7f62-4c2d-8b04-30e18f256b21.TABEPQGCKAF3FYAJ.SEARCH,MLMQ2HN/A
50,"Lenovo Phab 2 (Champagne Gold, 32 GB)","₹8,999",https://www.flipkart.com/lenovo-phab-2-champagne-gold-32-gb/p/itmep4bhwqtfmpdd?pid=MOBEZPVEGADXHMHT&srno=b_4_8&otracker=browse&lid=LSTMOBEZPVEGADXHMHTRHVPVC&fm=organic&iid=a8c41f99-d361-4b97-8354-c78da3d00e18.MOBEZPVEGADXHMHT.SEARCH,PB2-650M
51,"Lenovo Phab 2 (Gunmetal Gray, 32 GB)","₹8,999",https://www.flipkart.com/lenovo-phab-2-gunmetal-gray-32-gb/p/itmep4bhwqtfmpdd?pid=MOBEZPVENHEVMQDZ&srno=b_7_6&otracker=browse&lid=LSTMOBEZPVENHEVMQDZISYRRI&fm=organic&iid=52cc88c6-88f9-43df-a395-5138880fba67.MOBEZPVENHEVMQDZ.SEARCH,PB2-650M
52,Apple iPad Pro 32 GB 9.7 inch with Wi-Fi+4G,"₹55,480",https://www.flipkart.com/apple-ipad-pro-32-gb-9-7-inch-wi-fi-4g/p/itmeq8aefkaua7by?pid=TABEPQGCHXTGJTJC&srno=b_6_6&otracker=browse&lid=LSTTABEPQGCHXTGJTJCJANQNI&fm=organic&iid=9590e99b-e0bb-400a-a17d-c0e533a6bf66.TABEPQGCHXTGJTJC.SEARCH,MLYJ2HN/A
53,Datawind TABLET UBISLATE 3G7Z 8 GB 7 inch with Wi-Fi+3G Tablet,"₹4,599",https://www.flipkart.com/datawind-tablet-ubislate-3g7z-8-gb-7-inch-wi-fi-3g/p/itmefuyrhag9gctb?pid=TABEFUYRHTNQGWXF&srno=b_9_1&otracker=browse&lid=LSTTABEFUYRHTNQGWXFW9TAHM&fm=organic&iid=8c8b12b6-2e69-4bbd-b31b-c9f1d0458d57.TABEFUYRHTNQGWXF.SEARCH,UBISLATE TABLET 3G7Z
54,Apple iPad Pro 512 GB 10.5 inch with Wi-Fi+4G,"₹83,990",https://www.flipkart.com/apple-ipad-pro-512-gb-10-5-inch-wi-fi-4g/p/itmeuqathzjstc8u?pid=TABEUQATGFKW3YGZ&srno=b_5_7&otracker=browse&lid=LSTTABEUQATGFKW3YGZDUXZIM&fm=organic&iid=b4d3583b-c6b8-4952-9b5c-83d95ed23d6b.TABEUQATGFKW3YGZ.SEARCH,MPMH2HN/A
55,Samsung Galaxy J Max 8 GB 7 inch with Wi-Fi+4G Tablet,"₹11,900",https://www.flipkart.com/samsung-galaxy-j-max-8-gb-7-inch-wi-fi-4g-tablet/p/itmeh4sr7paum5dy?pid=TABEKP83S2PEFHFD&srno=b_1_11&otracker=browse&lid=LSTTABEKP83S2PEFHFDTJGZ3F&fm=organic&iid=ad767279-b9bf-4894-8592-c283c65c84a4.TABEKP83S2PEFHFD.SEARCH,SM-T285YZKYINS
56,Datawind Education Classes 9 to 10 4 GB 7 inch with Wi-Fi+2G Tablet,"₹3,999",https://www.flipkart.com/datawind-education-classes-9-10-4-gb-7-inch-wi-fi-2g-tablet/p/itmeshgprvb9pzgf?pid=TABESHGPV73XY9FT&srno=b_3_9&otracker=browse&lid=LSTTABESHGPV73XY9FTO4ZWXK&fm=organic&iid=06804c2d-644b-49e4-b8fd-9cc4edd8b444.TABESHGPV73XY9FT.SEARCH,Classes 9 to 10
57,"Lenovo Phab 2 (Champagne Gold, 32 GB)","₹8,999",https://www.flipkart.com/lenovo-phab-2-champagne-gold-32-gb/p/itmep4bhwqtfmpdd?pid=MOBEZPVEGADXHMHT&srno=b_2_10&otracker=browse&lid=LSTMOBEZPVEGADXHMHTRHVPVC&fm=organic&iid=d7b5d486-49f2-4448-a4fd-9c7bb75dc098.MOBEZPVEGADXHMHT.SEARCH,PB2-650M
58,Apple iPad Pro 128 GB 9.7 inch with Wi-Fi Only,"₹57,900",https://www.flipkart.com/apple-ipad-pro-128-gb-9-7-inch-wi-fi-only/p/itmezfh4nxyw7xku?pid=TABEZFHYAE74ZB9Q&srno=b_4_9&otracker=browse&lid=LSTTABEZFHYAE74ZB9QXJ3BKL&fm=organic&iid=a30ef842-bd73-4020-888a-df39e6346bd2.TABEZFHYAE74ZB9Q.SEARCH,MLMW2HN/A
