80VF00FRUS,"['amazon', 437L]"
VN-01,"['snapdeal', 4L]"
RCN-025A,"['flipkart', 226L]"
V2W50UTABA,"['bestbuy', 1036L]"
WE627RJ1838CA,"['staples', 258L]"
RZ09-01962E12-R3U1,"['amazon', 166L]"
MLMN2LL/A,"['amazon', 133L]"
GP62 6QF-480CA,"['amazon', 315L]"
i7-TPlus,"['amazon', 990L]"
GP62X1045,"['amazon', 455L]"
NX.GMUAA.003,"['newEgg', 1242L]"
GE62VR6RF-004CA,"['staples', 174L]"
GT62VR 7RE249CA,"['staples', 222L]"
700469869,"['amazon', 489L]"
V1H24UT#ABL,"['newEgg', 1155L]"
GS73VR 7RG-036CA,"['amazon', 232L]"
Watt-W09B,"['newEgg', 5L]"
LT666W,"['snapdeal', 98L]"
GE62VR-7RF430CA,"['staples', 159L]"
NP940X3G-K04US,"['newEgg', 1346L]"
NP900X3N-K01US,"['amazon', 509L]"
GP72 7RDX-452CA,"['staples', 75L]"
20H50047CA,"['bestbuy', 905L]"
T560 (20FH001TCA),"['newEgg', 518L, 'newEgg', 784L]"
W0S06UT#ABA,"['amazon', 829L]"
GT72 6QE-1095CA,"['amazon', 460L]"
GP62M7RDX256CA,"['staples', 440L]"
V2W31UT#ABA,"['amazon', 738L]"
467704BLK,"['walmart', 217L]"
GL62M 7RD-218CA,"['bestbuy', 8L, 'amazon', 15L, 'staples', 95L]"
GS63VR STEALTH PRO-001,"['bestbuy', 541L]"
GT62VR 7RE-249CA,"['bestbuy', 328L, 'bestbuy', 806L, 'amazon', 100L]"
20H1006AUS,"['bestbuy', 230L]"
WIT-NBW-MGD01,"['walmart', 180L]"
20H5009HUS,"['bestbuy', 790L]"
BX80662E31245V5,"['amazon', 465L]"
WS63 7RK-298CA,"['bestbuy', 542L, 'bestbuy', 836L, 'amazon', 592L]"
WS63 7RK-297CA,"['bestbuy', 588L]"
GE72VR 6RF-257CA,"['amazon', 79L]"
13Z970-U.AAW5U1,"['amazon', 470L]"
RZ09-01962E20-R3U1,"['amazon', 91L]"
4800301,"['walmart', 214L]"
MSI-GS63VR-Pro-002-HID9-CA,"['amazon', 1057L]"
MSI-GS63VR-Pro-002-HID10-CA,"['amazon', 1077L]"
YHK69,"['bestbuy', 1348L]"
WE72 7RJ-1037CA,"['amazon', 659L]"
T430,"['newEgg', 1951L]"
1430b,"['flipkart', 213L]"
GE62VR7RF-665CA,"['staples', 309L]"
MLN02LL/A,"['amazon', 582L]"
WS60 7RJ-680CA,"['bestbuy', 665L, 'bestbuy', 769L, 'amazon', 1049L]"
P57Xv7-KL3,"['amazon', 179L]"
1120E,"['amazon', 173L]"
RZ09-01963E32-R3U1,"['newEgg', 26L]"
